Wall time,Step,Value
1527580244.1858058,33500,0.65625
1527580428.4909382,33600,0.59375
1527580602.6553955,33700,0.71875
1527580783.3505425,33800,0.75
1527580968.7648704,33900,0.6875
1527581150.5898683,34000,0.71875
1527581333.9870114,34100,0.625
1527581518.2906463,34200,0.78125
1527581700.773353,34300,0.765625
1527581883.2333508,34400,0.578125
1527582066.6902235,34500,0.703125
1527582246.8104856,34600,0.65625
1527582431.1017916,34700,0.625
1527582614.6457486,34800,0.6875
1527582802.5294843,34900,0.71875
1527582990.3686368,35000,0.640625
1527583175.1765728,35100,0.75
1527583359.6492922,35200,0.625
1527583543.424714,35300,0.59375
1527583724.8020134,35400,0.671875
1527583912.9250286,35500,0.734375
1527584088.1977973,35600,0.734375
1527584269.224141,35700,0.671875
1527584455.7278688,35800,0.625
1527584637.5710826,35900,0.734375
1527584814.65606,36000,0.734375
1527584994.4166353,36100,0.65625
1527585172.0478618,36200,0.765625
1527585348.747408,36300,0.65625
1527585528.7631776,36400,0.65625
1527585704.3692873,36500,0.546875
1527585883.6035066,36600,0.671875
1527586069.8296485,36700,0.6875
1527586252.7957187,36800,0.625
1527586435.5934262,36900,0.609375
1527586617.3089695,37000,0.59375
1527586812.4227998,37100,0.671875
1527587011.4038527,37200,0.671875
1527587204.4719055,37300,0.625
1527587397.6977112,37400,0.671875
1527587586.4764223,37500,0.6875
1527587773.7221255,37600,0.6875
1527587961.336706,37700,0.609375
1527588144.1526122,37800,0.609375
1527588325.3749056,37900,0.640625
1527588505.0036478,38000,0.640625
1527588682.0148678,38100,0.671875
1527588858.1122515,38200,0.609375
1527589032.7207165,38300,0.609375
1527589203.9237328,38400,0.671875
1527589379.8287382,38500,0.5625
1527589552.2976444,38600,0.6875
1527589719.7438877,38700,0.78125
1527589888.9208996,38800,0.671875
1527590064.1855752,38900,0.671875
1527590231.9681458,39000,0.796875
1527590398.5948422,39100,0.625
1527590568.4168212,39200,0.671875
1527590741.7909627,39300,0.65625
1527590907.7274299,39400,0.578125
1527591075.7139726,39500,0.640625
1527591246.6117203,39600,0.640625
1527591409.9645748,39700,0.65625
1527591574.1521966,39800,0.5625
1527591738.2910032,39900,0.640625
1527591901.112822,40000,0.78125
1527592062.2145371,40100,0.65625
1527592223.3085494,40200,0.734375
1527592387.5144386,40300,0.71875
1527592546.884316,40400,0.578125
1527592704.1279247,40500,0.5625
1527592867.3385644,40600,0.734375
1527593033.1599112,40700,0.703125
1527593194.3731594,40800,0.625
1527593359.0226095,40900,0.46875
1527593527.9788356,41000,0.625
1527593692.5214546,41100,0.609375
1527593854.8442338,41200,0.625
1527594014.1462777,41300,0.71875
1527594174.949009,41400,0.6875
1527594337.406758,41500,0.71875
1527594504.5454032,41600,0.625
1527594674.2278373,41700,0.578125
1527594839.8945467,41800,0.640625
1527595005.1055386,41900,0.640625
1527595173.5498695,42000,0.703125
1527595343.484017,42100,0.71875
1527595514.439033,42200,0.734375
1527595685.4789584,42300,0.578125
1527595853.7777529,42400,0.59375
1527596025.306236,42500,0.671875
1527596196.5891547,42600,0.640625
1527596367.9529605,42700,0.71875
1527596536.2992113,42800,0.75
1527596703.9936981,42900,0.671875
1527596870.1297975,43000,0.71875
1527597033.9064097,43100,0.65625
1527597203.0900464,43200,0.671875
1527597374.5850227,43300,0.625
1527597551.2700105,43400,0.6875
1527597736.027788,43500,0.671875
1527597929.5974364,43600,0.671875
1527598140.2840757,43700,0.703125
1527598341.6501052,43800,0.6875
1527598539.79749,43900,0.65625
1527598740.7477472,44000,0.671875
1527598932.5979066,44100,0.703125
1527599119.4910164,44200,0.71875
1527599322.087874,44300,0.59375
1527599522.1699576,44400,0.640625
1527599710.7026412,44500,0.671875
1527599904.653381,44600,0.703125
1527600142.3731253,44700,0.59375
1527600379.9286556,44800,0.609375
1527600606.1906738,44900,0.6875
1527600829.1009316,45000,0.75
1527601057.5952792,45100,0.6875
1527601288.0067677,45200,0.625
1527601517.7406056,45300,0.609375
1527601744.8911238,45400,0.609375
1527601961.6006649,45500,0.734375
1527602198.2376714,45600,0.640625
1527602438.113992,45700,0.734375
1527602662.2552388,45800,0.65625
1527602891.9235463,45900,0.671875
1527603119.2188473,46000,0.6875
1527603341.672531,46100,0.640625
1527603559.5601513,46200,0.671875
1527603775.6806726,46300,0.59375
1527603994.9804509,46400,0.625
1527604224.0046184,46500,0.671875
1527604455.6326807,46600,0.5625
1527604696.7280045,46700,0.796875
1527604920.3434708,46800,0.625
1527605139.7543473,46900,0.703125
1527605377.5036633,47000,0.5
1527605611.9665406,47100,0.546875
1527605836.626174,47200,0.703125
1527606054.603313,47300,0.703125
1527606281.2506962,47400,0.625
1527606494.0675862,47500,0.53125
1527606716.2617145,47600,0.671875
1527606926.6696033,47700,0.59375
1527607143.5020087,47800,0.625
1527607357.6575515,47900,0.734375
1527607579.8180537,48000,0.59375
1527607798.1544428,48100,0.625
1527608016.6913834,48200,0.625
1527608230.1354375,48300,0.65625
1527608447.9778278,48400,0.59375
1527608659.492632,48500,0.734375
1527608863.0255058,48600,0.59375
1527609066.0230598,48700,0.609375
1527609267.989124,48800,0.578125
1527609459.1541078,48900,0.625
1527609656.7507496,49000,0.640625
1527609854.192469,49100,0.5
1527610048.0658977,49200,0.625
1527610243.5329435,49300,0.703125
1527610454.7082868,49400,0.703125
1527610663.0995145,49500,0.734375
1527610879.0008662,49600,0.578125
1527611091.3527036,49700,0.703125
1527611308.5870504,49800,0.671875
1527611527.2608278,49900,0.6875
1527611743.7743042,50000,0.578125
1527611964.408129,50100,0.640625
1527612174.6470134,50200,0.703125
1527612379.806214,50300,0.703125
1527612591.801961,50400,0.671875
1527612794.400301,50500,0.71875
1527613003.768032,50600,0.734375
1527613207.8827596,50700,0.625
1527613408.9934328,50800,0.625
1527613608.236324,50900,0.703125
1527613803.189074,51000,0.625
1527613993.5815692,51100,0.65625
1527614180.7304747,51200,0.671875
1527614371.2690756,51300,0.6875
1527614563.5125256,51400,0.765625
1527614758.4805226,51500,0.71875
1527614953.1677153,51600,0.625
1527615152.2214048,51700,0.65625
1527615349.6913202,51800,0.640625
1527615544.8981333,51900,0.6875
1527615741.282414,52000,0.734375
1527615935.7167034,52100,0.6875
1527616129.0070798,52200,0.671875
1527616325.290509,52300,0.625
1527616513.6065636,52400,0.796875
1527616709.0156353,52500,0.640625
1527616903.1558752,52600,0.765625
1527617098.877662,52700,0.6875
1527617291.0172193,52800,0.578125
1527617487.0788062,52900,0.703125
1527617682.7854495,53000,0.671875
1527617882.7258244,53100,0.671875
1527618084.791214,53200,0.6875
1527618281.8151226,53300,0.703125
1527618486.7641125,53400,0.625
1527618689.1021643,53500,0.65625
1527618883.5327127,53600,0.6875
1527619077.4272776,53700,0.6875
1527619261.2474923,53800,0.640625
1527619445.047562,53900,0.625
1527619628.3257084,54000,0.703125
1527619809.0204105,54100,0.703125
1527619988.310305,54200,0.6875
1527620170.8737767,54300,0.671875
1527620347.9084632,54400,0.71875
1527620525.2282133,54500,0.6875
1527620703.3415663,54600,0.65625
1527620890.1091566,54700,0.609375
1527621077.6057057,54800,0.65625
1527621271.2892294,54900,0.640625
1527621471.2433217,55000,0.6875
1527621682.9967554,55100,0.6875
1527621895.0400648,55200,0.578125
1527622104.4765906,55300,0.8125
1527622308.2113833,55400,0.6875
1527622512.5447667,55500,0.6875
1527622709.2469442,55600,0.71875
1527622899.6574123,55700,0.671875
1527623093.2915018,55800,0.765625
1527623289.2345643,55900,0.65625
1527623482.0527987,56000,0.71875
1527623677.7511733,56100,0.671875
1527623872.3747745,56200,0.640625
1527624067.0172582,56300,0.609375
1527624262.6699717,56400,0.75
1527624465.362583,56500,0.65625
1527624677.981184,56600,0.6875
1527624887.6072521,56700,0.703125
1527625100.864985,56800,0.671875
1527625320.6024592,56900,0.671875
1527625536.979667,57000,0.71875
1527625752.7492414,57100,0.65625
1527625963.8735456,57200,0.65625
1527626176.8538346,57300,0.734375
1527626389.8015513,57400,0.671875
1527626605.4378502,57500,0.71875
1527626834.93199,57600,0.734375
1527627064.96957,57700,0.546875
1527627300.9588807,57800,0.640625
1527627548.8664818,57900,0.765625
1527627800.5939126,58000,0.65625
1527628055.6597223,58100,0.65625
1527628321.2813485,58200,0.625
1527628593.0447407,58300,0.53125
1527628863.8384745,58400,0.703125
1527629130.2660546,58500,0.6875
1527629386.5155218,58600,0.609375
1527629636.8167956,58700,0.625
1527629891.8422022,58800,0.703125
1527630135.9563582,58900,0.578125
1527630382.403829,59000,0.59375
1527630618.7927594,59100,0.6875
1527630847.6522424,59200,0.703125
1527631079.927184,59300,0.546875
1527631294.960929,59400,0.671875
1527631516.894371,59500,0.578125
1527631740.8305585,59600,0.671875
1527631961.0875442,59700,0.765625
1527632174.9014575,59800,0.671875
1527632395.0071235,59900,0.65625
1527632597.646354,60000,0.78125
1527632795.1025603,60100,0.65625
1527632994.790823,60200,0.59375
1527633194.881047,60300,0.625
1527633395.230164,60400,0.765625
1527633595.7062564,60500,0.578125
1527633796.6903977,60600,0.5625
1527633987.0206823,60700,0.671875
1527634176.364578,60800,0.703125
1527634374.51656,60900,0.625
1527634576.9510448,61000,0.609375
1527634775.141877,61100,0.640625
1527634974.1511574,61200,0.671875
1527635164.9331415,61300,0.6875
1527635360.7586253,61400,0.71875
1527635555.9247751,61500,0.75
1527635747.2257648,61600,0.578125
1527635939.0936704,61700,0.6875
1527636135.7836525,61800,0.6875
1527636334.481681,61900,0.640625
1527636530.1522508,62000,0.6875
1527636725.1991575,62100,0.671875
1527636923.0596027,62200,0.640625
1527637120.5891542,62300,0.609375
1527637312.1555903,62400,0.578125
1527637501.3335185,62500,0.609375
1527637776.094604,62600,0.6875
1527638037.9831975,62700,0.671875
1527638282.8104146,62800,0.71875
1527638529.1567142,62900,0.6875
1527638779.2005413,63000,0.578125
1527639019.3833864,63100,0.640625
1527639250.2583992,63200,0.71875
1527639477.1683924,63300,0.578125
1527639701.374306,63400,0.5625
1527639910.2303088,63500,0.546875
1527640108.486919,63600,0.546875
1527640315.3725343,63700,0.65625
1527640518.0262897,63800,0.6875
1527640726.995145,63900,0.71875
1527640931.239739,64000,0.640625
1527641131.4975424,64100,0.6875
1527641331.79687,64200,0.65625
1527641530.020108,64300,0.671875
1527641730.6157403,64400,0.625
1527641929.6359532,64500,0.65625
1527642131.2656388,64600,0.640625
1527642341.384413,64700,0.65625
1527642550.4423873,64800,0.5625
1527642757.452197,64900,0.78125
1527642967.7312078,65000,0.6875
1527643178.1927598,65100,0.734375
1527643392.452095,65200,0.796875
1527643602.4608576,65300,0.765625
1527643815.4749522,65400,0.546875
1527644023.7103262,65500,0.578125
1527644282.823429,65600,0.71875
1527644548.3098903,65700,0.71875
1527644812.5667183,65800,0.78125
1527645073.8187811,65900,0.6875
1527645336.6717932,66000,0.703125
1527645596.5643327,66100,0.71875
1527645843.6781945,66200,0.703125
1527646093.9603107,66300,0.625
1527646333.9667485,66400,0.65625
1527646587.468199,66500,0.640625
1527646841.939759,66600,0.546875
1527647103.1707366,66700,0.765625
1527647351.9997096,66800,0.671875
1527647601.0009627,66900,0.703125
1527647848.5512502,67000,0.671875
1527648097.4123528,67100,0.65625
1527648325.2742753,67200,0.671875
1527648561.773642,67300,0.65625
1527648789.7365096,67400,0.5
1527649018.437826,67500,0.671875
1527649251.780574,67600,0.65625
1527649474.5773292,67700,0.6875
1527649694.9083676,67800,0.75
1527649909.04548,67900,0.65625
1527650126.0109372,68000,0.6875
1527650342.267414,68100,0.703125
1527650556.1359527,68200,0.6875
1527650766.0383682,68300,0.59375
1527650978.020597,68400,0.703125
1527651183.674535,68500,0.703125
1527651390.3837495,68600,0.71875
1527651599.698095,68700,0.671875
1527651809.8527064,68800,0.640625
1527652017.2273746,68900,0.65625
1527652226.012673,69000,0.703125
